2018-08-18,qzuser,泰州,4,嗯，这个呢，喝水笑呛着算不算。
2018-08-18,潘思佳,嘉善,5,还不错，为了自己的青春
2018-08-18,Sagapo臣臣,吴江,2.5,不好看不好看不好看，都是剧情堆砌，
2018-08-18,Mwd387989978,开化,5,一般般期待爱情公寓5
2018-08-18,易先生的七胖,芜湖,4,是十年而已 这是我的十年礼物🎁一张影票
2018-08-18,厌胜°,西安,5,很好看啊，十年情怀
2018-08-18,MhF431194628,如东,5,十年重温，期待爱5
2018-08-18,我妈是我女神丶,济南,3,很遗憾。。。
2018-08-18,丿爷唯享独尊,荆门,5,挺好看的真不错
2018-08-18,lilysan521,烟台,1,太垃圾了。白白期待了这么久
2018-08-18,狄萨disa,吉林,5,很好看的大电影。
2018-08-18,乱心人世,郑州,0.5,差点睡着，和我想象的不太一样
2018-08-18,佛山大众电脑,佛山,3.5,广告太多了。
2018-08-18,wJr293643963,呼伦贝尔,5,挺喜欢的 特效很不错  结局的彩蛋很惊喜
2018-08-18,qzuser,泰州,4,嗯，这个呢，喝水笑呛着算不算。
2018-08-18,潘思佳,嘉善,5,还不错，为了自己的青春
2018-08-18,Sagapo臣臣,吴江,2.5,不好看不好看不好看，都是剧情堆砌，
2018-08-18,Gnh815675751,东台,5,好看，好看，好看
2018-08-18,易先生的七胖,芜湖,4,是十年而已 这是我的十年礼物🎁一张影票
2018-08-18,厌胜°,西安,5,很好看啊，十年情怀
2018-08-18,MhF431194628,如东,5,十年重温，期待爱5
2018-08-18,我妈是我女神丶,济南,3,很遗憾。。。
2018-08-18,丿爷唯享独尊,荆门,5,挺好看的真不错
2018-08-18,lilysan521,烟台,1,太垃圾了。白白期待了这么久
2018-08-18,狄萨disa,吉林,5,很好看的大电影。
2018-08-18,乱心人世,郑州,0.5,差点睡着，和我想象的不太一样
2018-08-18,佛山大众电脑,佛山,3.5,广告太多了。
2018-08-18,wJr293643963,呼伦贝尔,5,挺喜欢的 特效很不错  结局的彩蛋很惊喜
2018-08-18,qzuser,泰州,4,嗯，这个呢，喝水笑呛着算不算。
2018-08-18,潘思佳,嘉善,5,还不错，为了自己的青春
2018-08-18,Sagapo臣臣,吴江,2.5,不好看不好看不好看，都是剧情堆砌，
2018-08-18,Gnh815675751,东台,5,好看，好看，好看
2018-08-18,rjH272641820,重庆,3.5,前序我以为走错电影厅，盗墓笔记和爱情公寓有什么联系吗？
2018-08-18,厌胜°,西安,5,很好看啊，十年情怀
2018-08-18,MhF431194628,如东,5,十年重温，期待爱5
2018-08-18,我妈是我女神丶,济南,3,很遗憾。。。
2018-08-18,丿爷唯享独尊,荆门,5,挺好看的真不错
2018-08-18,lilysan521,烟台,1,太垃圾了。白白期待了这么久
2018-08-18,狄萨disa,吉林,5,很好看的大电影。
2018-08-18,乱心人世,郑州,0.5,差点睡着，和我想象的不太一样
2018-08-18,佛山大众电脑,佛山,3.5,广告太多了。
2018-08-18,wJr293643963,呼伦贝尔,5,挺喜欢的 特效很不错  结局的彩蛋很惊喜
2018-08-18,qzuser,泰州,4,嗯，这个呢，喝水笑呛着算不算。
2018-08-18,潘思佳,嘉善,5,还不错，为了自己的青春
2018-08-18,Sagapo臣臣,吴江,2.5,不好看不好看不好看，都是剧情堆砌，
2018-08-18,Gnh815675751,东台,5,好看，好看，好看
2018-08-18,rjH272641820,重庆,3.5,前序我以为走错电影厅，盗墓笔记和爱情公寓有什么联系吗？
2018-08-18,tAe235714758,安阳,3.5,还行.。。。。。
2018-08-18,MhF431194628,如东,5,十年重温，期待爱5
2018-08-18,我妈是我女神丶,济南,3,很遗憾。。。
2018-08-18,丿爷唯享独尊,荆门,5,挺好看的真不错
2018-08-18,lilysan521,烟台,1,太垃圾了。白白期待了这么久
2018-08-18,狄萨disa,吉林,5,很好看的大电影。
2018-08-18,乱心人世,郑州,0.5,差点睡着，和我想象的不太一样
2018-08-18,佛山大众电脑,佛山,3.5,广告太多了。
2018-08-18,wJr293643963,呼伦贝尔,5,挺喜欢的 特效很不错  结局的彩蛋很惊喜
2018-08-18,qzuser,泰州,4,嗯，这个呢，喝水笑呛着算不算。
2018-08-18,潘思佳,嘉善,5,还不错，为了自己的青春
2018-08-18,Sagapo臣臣,吴江,2.5,不好看不好看不好看，都是剧情堆砌，
2018-08-18,Gnh815675751,东台,5,好看，好看，好看
2018-08-18,rjH272641820,重庆,3.5,前序我以为走错电影厅，盗墓笔记和爱情公寓有什么联系吗？
2018-08-18,tAe235714758,安阳,3.5,还行.。。。。。
2018-08-18,YEq771004228,杭州,5,勉强还可以，
2018-08-18,我妈是我女神丶,济南,3,很遗憾。。。
2018-08-18,丿爷唯享独尊,荆门,5,挺好看的真不错
2018-08-18,lilysan521,烟台,1,太垃圾了。白白期待了这么久
2018-08-18,狄萨disa,吉林,5,很好看的大电影。
2018-08-18,乱心人世,郑州,0.5,差点睡着，和我想象的不太一样
2018-08-18,佛山大众电脑,佛山,3.5,广告太多了。
2018-08-18,wJr293643963,呼伦贝尔,5,挺喜欢的 特效很不错  结局的彩蛋很惊喜
2018-08-18,qzuser,泰州,4,嗯，这个呢，喝水笑呛着算不算。
2018-08-18,潘思佳,嘉善,5,还不错，为了自己的青春
2018-08-18,Sagapo臣臣,吴江,2.5,不好看不好看不好看，都是剧情堆砌，
2018-08-18,Gnh815675751,东台,5,好看，好看，好看
2018-08-18,rjH272641820,重庆,3.5,前序我以为走错电影厅，盗墓笔记和爱情公寓有什么联系吗？
2018-08-18,tAe235714758,安阳,3.5,还行.。。。。。
2018-08-18,YEq771004228,杭州,5,勉强还可以，
2018-08-18,TCT395527502,天津,4,影片还不错，不错好看
2018-08-18,丿爷唯享独尊,荆门,5,挺好看的真不错
2018-08-18,lilysan521,烟台,1,太垃圾了。白白期待了这么久
2018-08-18,狄萨disa,吉林,5,很好看的大电影。
2018-08-18,乱心人世,郑州,0.5,差点睡着，和我想象的不太一样
2018-08-18,佛山大众电脑,佛山,3.5,广告太多了。
2018-08-18,wJr293643963,呼伦贝尔,5,挺喜欢的 特效很不错  结局的彩蛋很惊喜
2018-08-18,qzuser,泰州,4,嗯，这个呢，喝水笑呛着算不算。
2018-08-18,潘思佳,嘉善,5,还不错，为了自己的青春
2018-08-18,Sagapo臣臣,吴江,2.5,不好看不好看不好看，都是剧情堆砌，
2018-08-18,Gnh815675751,东台,5,好看，好看，好看
2018-08-18,rjH272641820,重庆,3.5,前序我以为走错电影厅，盗墓笔记和爱情公寓有什么联系吗？
2018-08-18,tAe235714758,安阳,3.5,还行.。。。。。
2018-08-18,YEq771004228,杭州,5,勉强还可以，
2018-08-18,TCT395527502,天津,4,影片还不错，不错好看
2018-08-18,Agnes,上海,5,依然是喜剧，曾小贤的魔性笑声一出来其实感动，还有就是张起灵炒帅！！！
2018-08-18,lilysan521,烟台,1,太垃圾了。白白期待了这么久
2018-08-18,狄萨disa,吉林,5,很好看的大电影。
2018-08-18,乱心人世,郑州,0.5,差点睡着，和我想象的不太一样
2018-08-18,佛山大众电脑,佛山,3.5,广告太多了。
2018-08-18,wJr293643963,呼伦贝尔,5,挺喜欢的 特效很不错  结局的彩蛋很惊喜
2018-08-18,qzuser,泰州,4,嗯，这个呢，喝水笑呛着算不算。
2018-08-18,潘思佳,嘉善,5,还不错，为了自己的青春
2018-08-18,Sagapo臣臣,吴江,2.5,不好看不好看不好看，都是剧情堆砌，
2018-08-18,Gnh815675751,东台,5,好看，好看，好看
2018-08-18,rjH272641820,重庆,3.5,前序我以为走错电影厅，盗墓笔记和爱情公寓有什么联系吗？
2018-08-18,tAe235714758,安阳,3.5,还行.。。。。。
2018-08-18,YEq771004228,杭州,5,勉强还可以，
2018-08-18,TCT395527502,天津,4,影片还不错，不错好看
2018-08-18,Agnes,上海,5,依然是喜剧，曾小贤的魔性笑声一出来其实感动，还有就是张起灵炒帅！！！
2018-08-18,cTp578538333,义乌,5,还不错。有点好笑。
2018-08-18,狄萨disa,吉林,5,很好看的大电影。
2018-08-18,乱心人世,郑州,0.5,差点睡着，和我想象的不太一样
2018-08-18,佛山大众电脑,佛山,3.5,广告太多了。
2018-08-18,wJr293643963,呼伦贝尔,5,挺喜欢的 特效很不错  结局的彩蛋很惊喜
2018-08-18,qzuser,泰州,4,嗯，这个呢，喝水笑呛着算不算。
2018-08-18,潘思佳,嘉善,5,还不错，为了自己的青春
2018-08-18,Sagapo臣臣,吴江,2.5,不好看不好看不好看，都是剧情堆砌，
2018-08-18,Gnh815675751,东台,5,好看，好看，好看
2018-08-18,rjH272641820,重庆,3.5,前序我以为走错电影厅，盗墓笔记和爱情公寓有什么联系吗？
2018-08-18,tAe235714758,安阳,3.5,还行.。。。。。
2018-08-18,YEq771004228,杭州,5,勉强还可以，
2018-08-18,TCT395527502,天津,4,影片还不错，不错好看
2018-08-18,Agnes,上海,5,依然是喜剧，曾小贤的魔性笑声一出来其实感动，还有就是张起灵炒帅！！！
2018-08-18,cTp578538333,义乌,5,还不错。有点好笑。
2018-08-18,zqW865877094,泉州,0.5,笑点好尬完全不知道在播什么…
2018-08-18,乱心人世,郑州,0.5,差点睡着，和我想象的不太一样
2018-08-18,佛山大众电脑,佛山,3.5,广告太多了。
2018-08-18,wJr293643963,呼伦贝尔,5,挺喜欢的 特效很不错  结局的彩蛋很惊喜
2018-08-18,qzuser,泰州,4,嗯，这个呢，喝水笑呛着算不算。
2018-08-18,潘思佳,嘉善,5,还不错，为了自己的青春
2018-08-18,Sagapo臣臣,吴江,2.5,不好看不好看不好看，都是剧情堆砌，
2018-08-18,Gnh815675751,东台,5,好看，好看，好看
2018-08-18,rjH272641820,重庆,3.5,前序我以为走错电影厅，盗墓笔记和爱情公寓有什么联系吗？
2018-08-18,tAe235714758,安阳,3.5,还行.。。。。。
2018-08-18,YEq771004228,杭州,5,勉强还可以，
2018-08-18,TCT395527502,天津,4,影片还不错，不错好看
2018-08-18,Agnes,上海,5,依然是喜剧，曾小贤的魔性笑声一出来其实感动，还有就是张起灵炒帅！！！
2018-08-18,cTp578538333,义乌,5,还不错。有点好笑。
2018-08-18,zqW865877094,泉州,0.5,笑点好尬完全不知道在播什么…
2018-08-18,Hzr531553681,南京,5,我真的觉得有些人就是神经病，我搞不懂这部剧要是还是按照原来的话这为什么是番外，为什么？他们这次只是换了个情节你见过喜羊羊在羊村吗？不管怎么样他们怎么样都是我们的青春，看完这部电影，我觉得很圆满。他们没变，变的是我们啊，自从这部剧被发现抄袭之后，我们对它的要求就更高了…说这部剧不好看的人是怎么想的，脑子有病吗？他们抄袭关你屁事啊！尴尬，关你屁事啊，有本事你别看啊，神经病吧，你要不想看，你别看。南派三叔也写了这个是有版权的，而不是没有的，OK？不要，有些人在这里酸，你不配！说这部剧不好看的人，我请你滚，滚远点。不要来这里撒野，OK？
2018-08-18,佛山大众电脑,佛山,3.5,广告太多了。
2018-08-18,wJr293643963,呼伦贝尔,5,挺喜欢的 特效很不错  结局的彩蛋很惊喜
2018-08-18,qzuser,泰州,4,嗯，这个呢，喝水笑呛着算不算。
2018-08-18,潘思佳,嘉善,5,还不错，为了自己的青春
2018-08-18,Sagapo臣臣,吴江,2.5,不好看不好看不好看，都是剧情堆砌，
2018-08-18,Gnh815675751,东台,5,好看，好看，好看
2018-08-18,rjH272641820,重庆,3.5,前序我以为走错电影厅，盗墓笔记和爱情公寓有什么联系吗？
2018-08-18,tAe235714758,安阳,3.5,还行.。。。。。
2018-08-18,YEq771004228,杭州,5,勉强还可以，
2018-08-18,TCT395527502,天津,4,影片还不错，不错好看
2018-08-18,Agnes,上海,5,依然是喜剧，曾小贤的魔性笑声一出来其实感动，还有就是张起灵炒帅！！！
2018-08-18,cTp578538333,义乌,5,还不错。有点好笑。
2018-08-18,zqW865877094,泉州,0.5,笑点好尬完全不知道在播什么…
2018-08-18,Hzr531553681,南京,5,我真的觉得有些人就是神经病，我搞不懂这部剧要是还是按照原来的话这为什么是番外，为什么？他们这次只是换了个情节你见过喜羊羊在羊村吗？不管怎么样他们怎么样都是我们的青春，看完这部电影，我觉得很圆满。他们没变，变的是我们啊，自从这部剧被发现抄袭之后，我们对它的要求就更高了…说这部剧不好看的人是怎么想的，脑子有病吗？他们抄袭关你屁事啊！尴尬，关你屁事啊，有本事你别看啊，神经病吧，你要不想看，你别看。南派三叔也写了这个是有版权的，而不是没有的，OK？不要，有些人在这里酸，你不配！说这部剧不好看的人，我请你滚，滚远点。不要来这里撒野，OK？
2018-08-18,安逸3089,大连,3.5,还可以吧，一般般
2018-08-18,佛山大众电脑,佛山,3.5,广告太多了。
2018-08-18,wJr293643963,呼伦贝尔,5,挺喜欢的 特效很不错  结局的彩蛋很惊喜
2018-08-18,qzuser,泰州,4,嗯，这个呢，喝水笑呛着算不算。
2018-08-18,潘思佳,嘉善,5,还不错，为了自己的青春
2018-08-18,Sagapo臣臣,吴江,2.5,不好看不好看不好看，都是剧情堆砌，
2018-08-18,Gnh815675751,东台,5,好看，好看，好看
2018-08-18,rjH272641820,重庆,3.5,前序我以为走错电影厅，盗墓笔记和爱情公寓有什么联系吗？
2018-08-18,tAe235714758,安阳,3.5,还行.。。。。。
2018-08-18,YEq771004228,杭州,5,勉强还可以，
2018-08-18,TCT395527502,天津,4,影片还不错，不错好看
2018-08-18,Agnes,上海,5,依然是喜剧，曾小贤的魔性笑声一出来其实感动，还有就是张起灵炒帅！！！
2018-08-18,cTp578538333,义乌,5,还不错。有点好笑。
2018-08-18,zqW865877094,泉州,0.5,笑点好尬完全不知道在播什么…
2018-08-18,Hzr531553681,南京,5,我真的觉得有些人就是神经病，我搞不懂这部剧要是还是按照原来的话这为什么是番外，为什么？他们这次只是换了个情节你见过喜羊羊在羊村吗？不管怎么样他们怎么样都是我们的青春，看完这部电影，我觉得很圆满。他们没变，变的是我们啊，自从这部剧被发现抄袭之后，我们对它的要求就更高了…说这部剧不好看的人是怎么想的，脑子有病吗？他们抄袭关你屁事啊！尴尬，关你屁事啊，有本事你别看啊，神经病吧，你要不想看，你别看。南派三叔也写了这个是有版权的，而不是没有的，OK？不要，有些人在这里酸，你不配！说这部剧不好看的人，我请你滚，滚远点。不要来这里撒野，OK？
2018-08-18,安逸3089,大连,3.5,还可以吧，一般般
2018-08-18,qzuser,泰州,4,嗯，这个呢，喝水笑呛着算不算。
2018-08-18,潘思佳,嘉善,5,还不错，为了自己的青春
2018-08-18,Sagapo臣臣,吴江,2.5,不好看不好看不好看，都是剧情堆砌，
2018-08-18,Gnh815675751,东台,5,好看，好看，好看
2018-08-18,rjH272641820,重庆,3.5,前序我以为走错电影厅，盗墓笔记和爱情公寓有什么联系吗？
2018-08-18,tAe235714758,安阳,3.5,还行.。。。。。
2018-08-18,YEq771004228,杭州,5,勉强还可以，
2018-08-18,TCT395527502,天津,4,影片还不错，不错好看
2018-08-18,Agnes,上海,5,依然是喜剧，曾小贤的魔性笑声一出来其实感动，还有就是张起灵炒帅！！！
2018-08-18,cTp578538333,义乌,5,还不错。有点好笑。
2018-08-18,zqW865877094,泉州,0.5,笑点好尬完全不知道在播什么…
2018-08-18,Hzr531553681,南京,5,我真的觉得有些人就是神经病，我搞不懂这部剧要是还是按照原来的话这为什么是番外，为什么？他们这次只是换了个情节你见过喜羊羊在羊村吗？不管怎么样他们怎么样都是我们的青春，看完这部电影，我觉得很圆满。他们没变，变的是我们啊，自从这部剧被发现抄袭之后，我们对它的要求就更高了…说这部剧不好看的人是怎么想的，脑子有病吗？他们抄袭关你屁事啊！尴尬，关你屁事啊，有本事你别看啊，神经病吧，你要不想看，你别看。南派三叔也写了这个是有版权的，而不是没有的，OK？不要，有些人在这里酸，你不配！说这部剧不好看的人，我请你滚，滚远点。不要来这里撒野，OK？
2018-08-18,安逸3089,大连,3.5,还可以吧，一般般
2018-08-18,oPm615954744,武汉,0.5,打情怀票，骗观众钱
2018-08-18,生来无趣,绍兴,1.5,严重破坏情怀
2018-08-18,潘思佳,嘉善,5,还不错，为了自己的青春
2018-08-18,Sagapo臣臣,吴江,2.5,不好看不好看不好看，都是剧情堆砌，
2018-08-18,Gnh815675751,东台,5,好看，好看，好看
2018-08-18,rjH272641820,重庆,3.5,前序我以为走错电影厅，盗墓笔记和爱情公寓有什么联系吗？
2018-08-18,tAe235714758,安阳,3.5,还行.。。。。。
2018-08-18,YEq771004228,杭州,5,勉强还可以，
2018-08-18,TCT395527502,天津,4,影片还不错，不错好看
2018-08-18,Agnes,上海,5,依然是喜剧，曾小贤的魔性笑声一出来其实感动，还有就是张起灵炒帅！！！
2018-08-18,cTp578538333,义乌,5,还不错。有点好笑。
2018-08-18,zqW865877094,泉州,0.5,笑点好尬完全不知道在播什么…
